overall_rank,name,pos,pos_rank,tier,team,bye,proj_points,ppg,availability,adp,adp_stdev,vor,vor_model,vor_market,edge,times_drafted,notes
312,Elic Ayomanor,WR,114,24,TEN,9,56.7,3.92,0.85,241.5,53.1,-64.6,-81.4,-33.4,-48.0,0,
313,Tank Bigsby,RB,59,18,PHI,10,65.2,4.79,0.8,169.4,25.0,-65.8,-83.8,-32.3,-51.5,79,
314,Emmett Johnson,RB,60,18,KC,5,65.2,4.75,0.808,172.0,37.6,-65.8,-83.8,-32.3,-51.5,23,
315,Ray Davis,RB,61,18,BUF,7,65.1,4.79,0.8,190.8,33.5,-65.9,-83.9,-32.3,-51.6,8,
316,Younghoe Koo,K,39,16,FA,0,18.0,1.09,0.97,339.0,74.6,-66.7,-82.0,-38.2,-43.8,0,
317,Nicholas Singleton,RB,62,18,TEN,9,63.7,4.64,0.808,184.6,36.7,-66.8,-85.3,-32.3,-53.0,7,
318,Tank Dell,WR,115,25,HOU,8,51.9,7.63,0.357,174.8,29.4,-67.3,-86.2,-32.3,-53.9,22,
319,Brandon Aiyuk,WR,116,26,SF,8,49.6,6.87,0.425,182.6,62.8,-68.8,-88.5,-32.3,-56.2,5,
320,Kimani Vidal,RB,63,19,LAC,7,60.0,4.41,0.8,237.8,52.3,-69.5,-89.0,-33.2,-55.8,0,
321,Ty Johnson,RB,64,20,BUF,7,55.8,4.64,0.707,164.3,12.5,-69.6,-93.2,-25.9,-67.3,9,
322,Isaiah Davis,RB,65,20,NYJ,13,60.5,4.68,0.76,270,45.0,-69.7,-88.5,-34.8,-53.7,0,
323,Will Kacmarek,TE,43,15,MIA,6,61.6,4.31,0.84,270,45.0,-70.2,-89.3,-34.8,-54.5,0,
324,John Metchie,WR,117,26,CAR,5,48.8,3.38,0.85,270,45.0,-70.2,-89.3,-34.8,-54.5,0,
325,Greg Dortch,WR,118,26,BUF,7,48.1,3.33,0.85,270,45.0,-70.7,-90.0,-34.8,-55.2,0,
326,James Conner,RB,66,21,ARI,14,57.2,8.41,0.296,230.8,50.8,-71.2,-91.8,-32.8,-59.0,0,
327,Christian Kirk,WR,119,26,SF,8,46.4,6.82,0.357,241.7,53.2,-71.3,-91.7,-33.4,-58.3,0,
